文物采样点,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,weathering
2,0.363199519,0,0.010511563,0.023425768,0.011812994,0.057363099,0.018620483,0.002602863,0.474822305,0,0.035739313,0.001902092,0,0,1
8,0.201763174,0,0,0.014826688,0,0.013424163,0,0.104287718,0.287317171,0.312863154,0.035964737,0.003706672,0,0.025846524,1
08严重风化点,0.046925896,0,0,0.032471498,0,0.01129886,0,0.031962541,0.330313518,0.311685668,0.076954397,0.005394951,0,0.152992671,2
11,0.352133347,0,0.002201489,0.03679631,0.007443128,0.028200021,0,0.051682566,0.266170458,0.153160709,0.098333159,0.003878813,0,0,1
19,0.300121507,0,0,0.029667882,0.005974079,0.036148238,0.013466991,0.035540705,0.433576347,0.054171729,0.089408667,0.001923856,0,0,1
20,0.422576632,0,0.008030766,0,0,0.06164461,0.017079516,0.054066282,0.10519172,0.266372582,0.065037892,0,0,0,0
23未风化点,0.557409326,0.082072539,0,0.005181347,0.007357513,0.014715026,0,0.030984456,0.175958549,0.122901554,0,0.003419689,0,0,0
24,0.323017799,0,0,0.004753236,0,0.016080097,0,0.085558252,0.294700647,0.265271036,0.001415858,0.009203074,0,0,0
25未风化点,0.521430043,0.023799712,0,0.00649083,0,0.01957552,0.015969503,0.011539254,0.328662683,0.068514321,0.001957552,0.002060581,0,0,0
26,0.198256862,0,0,0.014425967,0,0.007012623,0,0.105890603,0.295832498,0.323081547,0.031356442,0.004508115,0,0.019635344,1
26严重风化点,0.037240965,0,0.004004405,0.030133146,0,0.011812994,0,0.036039644,0.299529482,0.354890379,0.060466513,0.006206828,0,0.159675643,2
28未风化点,0.689836863,0,0.002634512,0.01357787,0.010132739,0.047623873,0.004154423,0.003343804,0.173675144,0.040936265,0.010538048,0.001215929,0.00233053,0,0
29未风化点,0.633760513,0.009211053,0.003003604,0.029835803,0.014917901,0.143572287,0.008109732,0.007408891,0.123247897,0.020324389,0.004104926,0.002503004,0,0,0
30部位1,0.350587034,0,0.0143951,0.045839714,0.010005105,0.044410413,0.021643696,0,0.400408372,0.105053599,0,0.003573252,0.004083716,0,0
30部位2,0.374164134,0,0,0.04295846,0.005167173,0.039108409,0.027760892,0,0.382370821,0.104863222,0.014285714,0.004863222,0.004457953,0,0
31,0.669612923,0,0,0.016255207,0.009041959,0.031596058,0.046632124,0.004470182,0.168139795,0.034745504,0.016458397,0.003047851,0,0,0
32,0.706568011,0,0.002128522,0.004662477,0,0.023920535,0.01013582,0.00111494,0.200283803,0.049462802,0.001723089,0,0,0,0
33,0.755402161,0,0.0015006,0.006402561,0.010004002,0.023509404,0,0.004701881,0.161664666,0.035514206,0.00130052,0,0,0,0
34,0.366899098,0,0.002563577,0.007998359,0,0.016611977,0.004819524,0.015484003,0.477337982,0.102543068,0.003486464,0.002255947,0,0,1
35,0.685063923,0,0,0.003949693,0,0.014967259,0.001766968,0.001663029,0.229186155,0.059037522,0.004365451,0,0,0,0
36,0.405305746,0.022738912,0.001433985,0.003789819,0,0.016388405,0.003277681,0.006965072,0.426200963,0.110929018,0.000716993,0.002253406,0,0,1
37,0.601320264,0,0.00230046,0.00890178,0,0.027205441,0,0.030106021,0.172434487,0.103420684,0.014602921,0.00310062,0,0.036607321,0
38,0.334077305,0.014000203,0,0.006898651,0,0.026072842,0.002942072,0.007405904,0.500253627,0.09932028,0.004869636,0.004159481,0,0,1
39,0.265795869,0,0,0.011239368,0,0.005062778,0,0.00891049,0.617962738,0.073106521,0.011745646,0.00617659,0,0,1
40,0.169524196,0,0,0.018971289,0,0.004565284,0.001927564,0,0.712285685,0.067870549,0.017956782,0.006898651,0,0,1
41,0.196990716,0,0.004695337,0.05292925,0.02913243,0.035535162,0.019101483,0.002027532,0.470814214,0.104151104,0.079607299,0.005015473,0,0,1
42未风化点1,0.523007856,0.058565453,0.001530456,0.008060402,0.011121314,0.036016733,0,0.027242118,0.223242526,0.106825834,0.000816243,0.003571064,0,0,0
42未风化点2,0.524310521,0.058018386,0.003575077,0,0.011848825,0.057814096,0,0.027783453,0.205515832,0.11113381,0,0,0,0,0
43部位1,0.131073088,0,0,0.055344318,0.009400084,0.023764259,0.008027038,0.056506126,0.632129278,0.076996198,0,0.006759611,0,0,1
43部位2,0.224475018,0,0,0.066204614,0.009827247,0.035274646,0.014378815,0.015620151,0.462915072,0.033722975,0.132719561,0.004861901,0,0,1
44未风化点,0.612792575,0.030871671,0.002017756,0.021589992,0,0.128026634,0.007768362,0.004338176,0.137308313,0.052663438,0,0.002623083,0,0,0
45,0.623144194,0.027049014,0.001118568,0.008541794,0.007524914,0.050844011,0,0.005389465,0.162599146,0.111450071,0,0.002338824,0,0,0
46,0.559768833,0,0.002534726,0,0.016931968,0.048565345,0,0.007806955,0.2560073,0.101997364,0.002027781,0.004359728,0,0,0
47,0.529919803,0.047912811,0.002981699,0.008945096,0.006271849,0.03146206,0,0.006683117,0.261155665,0.094900267,0.001028172,0.008739461,0,0,0
48,0.537763437,0.008066956,0.003226782,0.028436019,0.01552889,0.137642432,0.010386206,0,0.158414843,0.073711808,0.011092064,0.002520924,0.01320964,0,1
49,0.301465969,0,0,0.047958115,0.01539267,0.056335079,0.028691099,0.007329843,0.357905759,0.063874346,0.116230366,0.004816754,0,0,1
49未风化点,0.55588355,0,0.003053746,0.021172638,0.012214984,0.066164495,0.012927524,0.004580619,0.234324104,0.042650651,0.043973941,0.003053746,0,0,0
50,0.199401131,0,0,0.03537762,0.005212377,0.020738605,0.003659754,0.012531884,0.487967173,0.157480315,0.070311634,0.007319508,0,0,1
50未风化点,0.464410976,0,0,0.032184857,0.005570456,0.042913142,0,0.007220961,0.315762327,0.0641634,0.065401279,0.002372602,0,0,0
51部位1,0.25815588,0,0,0.037553761,0.012482954,0.055071856,0.012482954,0.014371132,0.422112661,0.093779503,0.084968006,0.004091052,0.004930242,0,1
