文物采样点,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,weathering
1,0.710275587,0,0.102346071,0.064747464,0.008913021,0.040262268,0.017826042,0.039647577,0,0,0.011986477,0,0,0.003995492,0
03部位1,0.8705,0,0.0519,0.0201,0,0.0406,0,0.0078,0.0025,0,0.0066,0,0,0,0
03部位2,0.624089806,0,0.125101133,0.059364887,0.011225728,0.055622977,0.02184466,0.051476537,0.014259709,0.028923948,0.007079288,0.001011327,0,0,0
4,0.685821362,0,0.10066625,0.074120341,0.01623985,0.067041432,0.02144493,0.022694149,0,0,0.008224027,0,0,0.003747658,0
5,0.638068594,0,0.113459745,0.076157911,0.018340068,0.077712154,0.027147446,0.033882499,0,0,0.009739923,0.000621697,0,0.004869962,0
06部位1,0.683885968,0,0.07450465,0,0.020016175,0.112717347,0.024160938,0.02537404,0.002021836,0.013950667,0.042256369,0.00111201,0,0,0
06部位2,0.605119385,0,0.077701335,0.054734925,0.017503035,0.101679482,0.061108863,0.022055848,0.003541076,0.009813841,0.045528126,0.001214083,0,0,0
7,0.929087262,0,0,0.010732197,0,0.019859579,0.001705115,0.032497492,0,0,0.006118355,0,0,0,1
9,0.952390498,0,0.005913601,0.006214293,0,0.01323043,0.003207377,0.015535732,0,0,0.003508069,0,0,0,1
10,0.96954213,0,0.009217513,0.002103998,0,0.008115419,0.002604949,0.00841599,0,0,0,0,0,0,1
12,0.94697198,0,0.010143618,0.007231094,0,0.014663051,0.002912524,0.016571256,0,0,0.001506478,0,0,0,1
13,0.60128388,0.029142042,0.12767475,0.088648869,0,0.062767475,0.029345832,0.048196454,0,0,0.012940697,0,0,0,0
14,0.631010101,0.034141414,0.124040404,0.083131313,0.006666667,0.093232323,0.005050505,0.004747475,0.016363636,0,0.001616162,0,0,0,0
16,0.662331064,0.021339295,0.147545981,0.084036175,0.005284016,0.062798496,0.004267859,0.010872879,0.001117773,0,0,0.000406463,0,0,0
18,0.817069409,0,0.096863753,0,0.015732648,0.031362468,0,0,0,0,0.013984576,0.000719794,0.024267352,0,0
21,0.778319123,0,0,0.047807552,0.012383272,0.062829882,0.024056029,0.033292732,0.010150223,0.01999594,0.011165246,0,0,0,0
22,0.9235,0,0.0074,0.0166,0.0064,0.035,0.0035,0.0055,0,0,0.0021,0,0,0,1
27,0.938366562,0,0,0.009513207,0.005465034,0.025402287,0.002024087,0.015585467,0,0,0.003643356,0,0,0,1
