文物采样点,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
28未风化点,0.689836863,0,0.002634512,0.01357787,0.010132739,0.047623873,0.004154423,0.003343804,0.173675144,0.040936265,0.010538048,0.001215929,0.00233053,0
29未风化点,0.633760513,0.009211053,0.003003604,0.029835803,0.014917901,0.143572287,0.008109732,0.007408891,0.123247897,0.020324389,0.004104926,0.002503004,0,0
31,0.669612923,0,0,0.016255207,0.009041959,0.031596058,0.046632124,0.004470182,0.168139795,0.034745504,0.016458397,0.003047851,0,0
32,0.706568011,0,0.002128522,0.004662477,0,0.023920535,0.01013582,0.00111494,0.200283803,0.049462802,0.001723089,0,0,0
33,0.755402161,0,0.0015006,0.006402561,0.010004002,0.023509404,0,0.004701881,0.161664666,0.035514206,0.00130052,0,0,0
35,0.685063923,0,0,0.003949693,0,0.014967259,0.001766968,0.001663029,0.229186155,0.059037522,0.004365451,0,0,0
37,0.601320264,0,0.00230046,0.00890178,0,0.027205441,0,0.030106021,0.172434487,0.103420684,0.014602921,0.00310062,0,0.036607321
44未风化点,0.612792575,0.030871671,0.002017756,0.021589992,0,0.128026634,0.007768362,0.004338176,0.137308313,0.052663438,0,0.002623083,0,0
45,0.623144194,0.027049014,0.001118568,0.008541794,0.007524914,0.050844011,0,0.005389465,0.162599146,0.111450071,0,0.002338824,0,0
53未风化点,0.647938931,0.030941476,0.001119593,0.007938931,0.011603053,0.061679389,0,0.005496183,0.139033079,0.091501272,0,0.002748092,0,0
