"文物采样点","SiO2","Na2O","K2O","CaO","MgO","Al2O3","Fe2O3","CuO","PbO","BaO","P2O5","SrO","SnO2","SO2"
"1",0.710275586517775,0,0.102346071099273,0.0647474643991394,0.00891302120684356,0.0402622682102244,0.0178260424136871,0.039647577092511,0,0,0.0119864767954103,0,0,0.00399549226513677
"2",0.363199519471419,0,0.0105115627189909,0.0234257683451797,0.0118129942937231,0.0573630994093503,0.0186204825307839,0.00260286314946441,0.474822304534988,0,0.035739313244569,0.00190209230153168,0,0
"03部位1",0.8705,0,0.0519,0.0201,0,0.0406,0,0.0078,0.0025,0,0.0066,0,0,0
"03部位2",0.624089805825243,0,0.125101132686084,0.0593648867313916,0.0112257281553398,0.0556229773462783,0.0218446601941748,0.0514765372168285,0.0142597087378641,0.0289239482200647,0.00707928802588997,0.00101132686084142,0,0
"4",0.685821361648969,0,0.100666250260254,0.0741203414532584,0.0162398500936914,0.0670414324380595,0.0214449302519259,0.0226941494899021,0,0,0.00822402665001041,0,0,0.00374765771392879
"5",0.63806859392809,0,0.113459745104134,0.0761579110972956,0.0183400683866957,0.0777121541809139,0.0271474458605326,0.0338824992228785,0,0,0.00973992332400788,0.000621697233447311,0,0.00486996166200394
"06部位1",0.683885968459361,0,0.0745046502224019,0,0.0200161746866154,0.112717347351395,0.0241609381318237,0.0253740396279822,0.00202183582693085,0.0139506672058229,0.0422563687828548,0.00111200970481197,0,0
"06部位2",0.605119384864427,0,0.0777013354917038,0.0547349251315257,0.0175030352084176,0.101679481991097,0.0611088628085795,0.0220558478348847,0.00354107648725212,0.00981384055038446,0.0455281262646702,0.00121408336705787,0,0
"7",0.929087261785356,0,0,0.0107321965897693,0,0.0198595787362086,0.00170511534603811,0.0324974924774323,0,0,0.00611835506519559,0,0,0
"8",0.201763173712683,0,0,0.0148266880384692,0,0.0134241634942897,0,0.104287717892206,0.287317170907634,0.312863153676618,0.0359647365257463,0.00370667200961731,0,0.0258465237427369
"08严重风化点",0.0469258957654723,0,0,0.0324714983713355,0,0.0112988599348534,0,0.0319625407166124,0.330313517915309,0.311685667752443,0.0769543973941368,0.00539495114006515,0,0.152992671009772
"9",0.952390498145735,0,0.00591360128295079,0.0062142928736093,0,0.0132304299889746,0.00320737696702416,0.0155357321840233,0,0,0.00350806855768267,0,0,0
"10",0.969542130047089,0,0.00921751327522292,0.00210399759543132,0,0.00811541929666366,0.00260494940386735,0.00841599038172528,0,0,0,0,0,0
"11",0.352133347311039,0,0.0022014886256421,0.0367963098857323,0.00744312821050425,0.0282000209665583,0,0.0516825663067407,0.2661704581193,0.153160708669672,0.0983331586120138,0.00387881329279799,0,0
