,文物采样点,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,sub_class
0,20,0.422576632,0.0,0.008030766,0.0,0.0,0.06164461,0.017079516,0.054066282,0.10519172,0.266372582,0.065037892,0.0,0.0,0.0,2
1,23未风化点,0.557409326,0.082072539,0.0,0.005181347,0.007357513,0.014715026,0.0,0.030984456,0.175958549,0.122901554,0.0,0.003419689,0.0,0.0,2
2,24,0.323017799,0.0,0.0,0.004753236,0.0,0.016080097,0.0,0.085558252,0.294700647,0.265271036,0.001415858,0.009203074,0.0,0.0,1
3,25未风化点,0.521430043,0.023799712,0.0,0.00649083,0.0,0.01957552,0.015969503,0.011539254,0.328662683,0.068514321,0.001957552,0.002060581,0.0,0.0,2
4,28未风化点,0.689836863,0.0,0.002634512,0.01357787,0.010132739,0.047623873,0.004154423,0.003343804,0.173675144,0.040936265,0.010538048,0.001215929,0.00233053,0.0,0
5,29未风化点,0.633760513,0.009211053,0.003003604,0.029835803,0.014917901,0.143572287,0.008109732,0.007408891,0.123247897,0.020324389,0.004104926,0.002503004,0.0,0.0,0
6,30部位1,0.350587034,0.0,0.0143951,0.045839714,0.010005105,0.044410413,0.021643696,0.0,0.400408372,0.105053599,0.0,0.003573252,0.004083716,0.0,1
7,30部位2,0.374164134,0.0,0.0,0.04295846,0.005167173,0.039108409,0.027760892,0.0,0.382370821,0.104863222,0.014285714,0.004863222,0.004457953,0.0,1
8,31,0.669612923,0.0,0.0,0.016255207,0.009041959,0.031596058,0.046632124,0.004470182,0.168139795,0.034745504,0.016458397,0.003047851,0.0,0.0,0
9,32,0.706568011,0.0,0.002128522,0.004662477,0.0,0.023920535,0.01013582,0.00111494,0.200283803,0.049462802,0.001723089,0.0,0.0,0.0,0
10,33,0.755402161,0.0,0.0015006,0.006402561,0.010004002,0.023509404,0.0,0.004701881,0.161664666,0.035514206,0.00130052,0.0,0.0,0.0,0
11,35,0.685063923,0.0,0.0,0.003949693,0.0,0.014967259,0.001766968,0.001663029,0.229186155,0.059037522,0.004365451,0.0,0.0,0.0,0
12,37,0.601320264,0.0,0.00230046,0.00890178,0.0,0.027205441,0.0,0.030106021,0.172434487,0.103420684,0.014602921,0.00310062,0.0,0.036607321,0
13,42未风化点1,0.523007856,0.058565453,0.001530456,0.008060402,0.011121314,0.036016733,0.0,0.027242118,0.223242526,0.106825834,0.000816243,0.003571064,0.0,0.0,2
14,42未风化点2,0.524310521,0.058018386,0.003575077,0.0,0.011848825,0.057814096,0.0,0.027783453,0.205515832,0.11113381,0.0,0.0,0.0,0.0,2
15,44未风化点,0.612792575,0.030871671,0.002017756,0.021589992,0.0,0.128026634,0.007768362,0.004338176,0.137308313,0.052663438,0.0,0.002623083,0.0,0.0,0
16,45,0.623144194,0.027049014,0.001118568,0.008541794,0.007524914,0.050844011,0.0,0.005389465,0.162599146,0.111450071,0.0,0.002338824,0.0,0.0,0
17,46,0.559768833,0.0,0.002534726,0.0,0.016931968,0.048565345,0.0,0.007806955,0.2560073,0.101997364,0.002027781,0.004359728,0.0,0.0,2
18,47,0.529919803,0.047912811,0.002981699,0.008945096,0.006271849,0.03146206,0.0,0.006683117,0.261155665,0.094900267,0.001028172,0.008739461,0.0,0.0,2
19,49未风化点,0.55588355,0.0,0.003053746,0.021172638,0.012214984,0.066164495,0.012927524,0.004580619,0.234324104,0.042650651,0.043973941,0.003053746,0.0,0.0,2
20,50未风化点,0.464410976,0.0,0.0,0.032184857,0.005570456,0.042913142,0.0,0.007220961,0.315762327,0.0641634,0.065401279,0.002372602,0.0,0.0,2
21,53未风化点,0.647938931,0.030941476,0.001119593,0.007938931,0.011603053,0.061679389,0.0,0.005496183,0.139033079,0.091501272,0.0,0.002748092,0.0,0.0,0
22,55,0.508507989,0.028117867,0.0,0.011724424,0.0,0.015044615,0.0,0.008923013,0.34156464,0.082485993,0.003631459,0.0,0.0,0.0,2
